,area_id,area_type,year,female_full_time_median_earnings,female_median_earnings,male_full_time_median_earnings,male_median_earnings,median_earnings,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,median_earnings_high_school,median_earnings_less_than_high_school,median_earnings_some_college_or_associates,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_1_to_9999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000,City,State
382,1600000US0158848,region.place,2013,42310,35034,56250,42718,36953,51385,57318,32035,22768,43658,3.3,11.1,1.6,14.0,20.9,17.0,7.7,12.1,12.3,Pelham,AL
387,1600000US0176944,region.place,2013,46631,37839,66229,56991,45711,60483,65262,36629,36042,42443,1.1,6.6,2.9,8.7,21.6,17.5,10.9,11.0,19.7,Trussville,AL
392,1600000US0125240,region.place,2013,41196,26813,59479,50270,35876,53409,52444,24167,25335,34129,2.9,11.0,0.8,13.3,21.4,16.9,5.0,11.7,17.0,Fairhope,AL
397,1600000US0101132,region.place,2013,29464,23317,29758,24431,23809,40268,51563,22868,22548,30193,8.8,27.8,2.9,21.1,14.3,11.8,4.9,7.1,1.3,Alexander City,AL
398,1600000US0118976,region.place,2013,35625,23347,41771,30331,26329,44984,53520,22076,17897,31543,5.3,15.5,2.5,20.4,23.0,13.6,4.9,7.0,7.8,Cullman,AL
399,1600000US0168736,region.place,2013,27324,20681,37368,31116,25941,57717,54292,23273,19375,27887,4.0,24.3,2.1,23.3,18.4,13.4,2.9,5.5,6.1,Scottsboro,AL
400,1600000US0148712,region.place,2013,34702,26600,52521,43017,32689,53068,51750,30881,20526,39898,3.3,14.3,1.3,16.8,24.5,19.5,6.3,8.8,5.2,Millbrook,AL
402,1600000US0138416,region.place,2013,34508,20239,52903,32004,25736,43806,64018,30282,17818,27395,6.1,15.3,2.1,14.8,19.1,15.9,10.1,6.7,9.9,Jasper,AL
403,1600000US0127616,region.place,2013,22109,18427,32483,27037,21949,41736,55833,23609,19028,26897,8.3,29.9,1.5,23.2,16.0,10.4,1.5,5.6,3.6,Fort Payne,AL
405,1600000US0168160,region.place,2013,35847,25091,44972,38761,31163,52215,51949,27853,20272,33949,1.3,18.8,3.0,16.4,21.3,18.2,7.6,5.9,7.5,Saraland,AL
407,1600000US0124568,region.place,2013,26564,18955,39888,27462,22518,42364,49470,20521,23106,23091,5.5,25.0,2.1,22.6,18.8,11.5,4.5,5.5,4.5,Eufaula,AL
417,1600000US0114104,region.place,2013,44129,31077,64360,54912,43131,55899,68510,25221,26307,42684,3.3,9.6,0.5,13.6,15.3,19.2,10.4,13.5,14.6,Chelsea,AL
418,1600000US0167608,region.place,2013,31782,19989,49491,31505,25107,44063,57426,26702,17295,30720,2.4,20.3,3.6,16.4,18.3,22.9,6.1,5.2,4.8,Saks,AL
419,1600000US0132272,region.place,2013,31809,16663,37418,24040,20607,30574,56250,20338,9280,23813,6.3,20.1,2.6,16.5,24.5,13.2,3.2,4.5,9.1,Gulf Shores,AL
420,1600000US0161008,region.place,2013,46160,38231,45658,39730,38903,49485,57284,31382,14821,42972,1.8,10.2,4.4,13.2,29.3,20.0,8.3,8.5,4.3,Pleasant Grove,AL
422,1600000US0167056,region.place,2013,25078,19707,27038,22820,21586,36058,54338,26165,18041,23215,12.7,30.6,1.5,21.5,13.0,8.4,4.1,4.8,3.4,Russellville,AL
426,1600000US0177304,region.place,2013,26604,9959,34688,15539,11954,40893,26541,23021,18600,23841,7.0,21.3,7.2,22.5,23.5,9.2,4.0,2.7,2.6,Tuskegee,AL
427,1600000US0178204,region.place,2013,31108,28149,38103,30810,29395,45299,61250,23690,31513,30172,6.4,14.7,2.6,28.0,25.4,7.4,9.0,3.7,2.8,Valley,AL
432,1600000US0177280,region.place,2013,35869,18691,44484,33598,25684,47057,44028,25399,19735,26620,5.0,19.6,1.6,15.8,20.9,20.0,5.6,7.7,3.8,Tuscumbia,AL
447,1600000US0141296,region.place,2013,27098,19477,37961,22267,20836,46838,56250,20047,15263,26731,11.7,18.5,6.5,22.1,20.3,11.8,3.0,1.0,5.1,Lanett,AL
449,1600000US0150192,region.place,2013,22859,15132,43880,37866,21677,45833,53125,29722,16434,24426,6.1,24.1,6.6,15.0,26.1,5.8,5.3,4.8,6.2,Monroeville,AL
451,1600000US0143120,region.place,2013,27216,20142,48264,45284,31077,58242,75114,31453,21250,32352,6.3,17.2,4.2,14.3,23.5,12.0,5.0,9.5,8.0,Lincoln,AL
458,1600000US0175768,region.place,2013,29901,22378,37170,31996,27335,50335,41528,30659,29375,25169,5.2,21.5,1.6,23.4,22.4,17.2,1.1,5.9,1.7,Theodore,AL
466,1600000US0133472,region.place,2013,38176,27850,49122,38594,35652,41723,82708,27095,14700,41338,5.5,17.3,0.5,8.4,26.4,13.3,3.8,9.0,15.8,Harvest,AL
469,1600000US0129992,region.place,2013,32938,21117,53922,26940,22238,71583,21765,21479,21989,28348,5.5,17.5,2.1,20.3,10.5,19.7,6.6,11.8,6.0,Glencoe,AL
473,1600000US0174688,region.place,2013,30930,16801,39917,33849,26566,39167,42537,30075,30397,25758,12.4,12.9,2.8,26.6,27.2,11.4,0.8,2.1,3.8,Tallassee,AL
475,1600000US0127640,region.place,2013,38438,21154,37995,33333,30534,47792,45700,33929,0,39352,7.9,11.5,3.4,25.2,24.7,14.0,3.5,7.2,2.6,Fort Rucker,AL
477,1600000US0133856,region.place,2013,31386,25650,48194,38851,30929,45365,48261,30525,4554,30730,5.4,12.9,1.2,16.2,35.3,8.9,7.3,2.2,10.6,Headland,AL
479,1600000US0100460,region.place,2013,31756,21761,43882,33228,29297,45850,33750,32173,14250,35772,7.8,17.8,0.6,18.6,24.7,20.2,3.9,5.8,0.6,Adamsville,AL
481,1600000US0152344,region.place,2013,42516,31994,54250,43966,40248,44761,70337,36865,17232,43708,4.0,11.7,0.4,9.4,28.5,19.6,10.4,9.3,6.7,Mount Olive,AL
483,1600000US0182992,region.place,2013,40188,32559,34808,24306,26955,39167,49844,24367,5441,39135,3.7,21.5,1.3,18.9,23.7,13.0,3.0,8.2,6.7,Winfield,AL
485,1600000US0134490,region.place,2013,75644,41000,93670,81523,57567,79239,98701,10958,0,50913,1.0,2.7,0.0,8.1,12.4,12.9,4.3,19.5,39.1,Highland Lakes,AL
486,1600000US0135392,region.place,2013,33155,21741,49874,44271,31594,40556,49375,33571,27548,34345,3.8,16.3,0.6,15.4,28.4,20.4,9.2,4.8,1.1,Hokes Bluff,AL
487,1600000US0160264,region.place,2013,31809,24327,52865,44770,34050,49890,53150,31667,23214,40208,1.6,11.8,4.2,19.2,26.5,16.3,9.2,8.0,3.2,Pine Level,AL
495,1600000US0178232,region.place,2013,32218,20729,42500,35089,29334,20654,51875,28804,24375,33472,2.9,14.2,1.2,23.0,24.5,19.3,5.9,4.8,4.2,Valley Grande,AL
496,1600000US0177880,region.place,2013,19848,15145,21156,21362,19408,51094,18612,33424,17156,32966,12.9,46.9,1.1,25.1,9.8,4.2,0.0,0.0,0.0,Union Springs,AL
498,1600000US0124808,region.place,2013,24871,17940,33646,30385,20496,51953,62083,24615,12073,18883,11.2,30.4,5.7,16.8,6.9,21.8,0.0,4.2,3.0,Evergreen,AL
513,1600000US0179944,region.place,2013,38616,26042,46771,31743,28814,107778,0,27602,10938,40183,10.2,4.9,2.5,20.3,29.7,21.4,0.0,7.0,4.0,Warrior,AL
520,1600000US0115376,region.place,2013,30000,16172,32143,13811,14375,43942,50750,22614,13476,15938,6.5,22.6,5.7,25.5,18.5,4.3,3.3,6.8,6.8,Clayton,AL
524,1600000US0184096,region.place,2013,40511,17060,48963,22273,17760,41786,52232,17074,17045,14753,5.9,19.5,4.7,10.3,33.6,22.4,0.0,1.6,2.0,York,AL
525,1600000US0117704,region.place,2013,31464,22255,32143,24447,23801,31375,50598,22528,21143,40417,4.1,29.9,3.5,18.1,27.9,8.1,0.9,6.4,1.1,Cottondale,AL
526,1600000US0144728,region.place,2013,27500,22625,42371,32292,26633,38833,61389,24167,23879,41354,7.4,22.3,0.7,21.9,15.6,8.5,13.0,4.4,6.2,Luverne,AL
527,1600000US0154168,region.place,2013,29545,24349,35905,30299,27149,31250,44444,23403,18542,36299,7.9,24.5,0.9,19.4,19.3,13.5,5.0,6.7,2.8,New Hope,AL
534,1600000US0143264,region.place,2013,26974,19983,32995,31250,24391,33085,44737,20893,11750,29167,4.0,30.8,2.4,21.4,25.1,2.4,4.9,6.5,2.5,Lineville,AL
539,1600000US0140648,region.place,2013,37386,23670,33250,21344,22405,40298,0,15841,19301,25765,10.8,19.4,1.7,17.6,24.8,9.0,9.2,5.0,2.5,Ladonia,AL
541,1600000US0138608,region.place,2013,30250,21134,44583,36290,31563,43438,55234,32525,15326,45000,4.7,21.8,0.5,18.3,18.1,26.1,2.6,4.4,3.5,Jemison,AL
542,1600000US0122216,region.place,2013,25993,15500,39550,32179,24213,33594,51833,25966,18333,19671,6.7,14.5,0.0,32.6,24.6,10.5,2.9,3.6,4.6,East Brewton,AL
545,1600000US0177904,region.place,2013,27132,11056,27500,17778,13456,42750,4803,19917,5583,15662,9.5,20.0,9.8,29.2,13.1,10.8,0.0,6.9,0.7,Uniontown,AL
548,1600000US0134096,region.place,2013,24219,21477,44167,32292,26330,66125,49643,25060,24013,31250,2.2,31.7,1.7,18.0,21.1,5.5,8.5,9.1,2.2,Henagar,AL
549,1600000US0173080,region.place,2013,25500,19943,37647,29417,23532,68603,40278,25667,20938,38207,2.4,25.5,2.5,27.3,22.1,10.1,7.8,0.0,2.3,Stevenson,AL
553,1600000US0171201,region.place,2013,45875,40500,45481,41534,41058,63988,8661,41078,41667,34921,2.7,5.2,0.0,11.7,36.8,17.9,1.0,4.0,20.7,Smoke Rise,AL
558,1600000US0112016,region.place,2013,25000,17750,32442,26026,20825,40313,0,19931,19706,26515,3.6,31.1,4.9,16.2,24.2,9.2,8.3,2.5,0.0,Carbon Hill,AL
559,1600000US0176080,region.place,2013,39931,21492,44186,41250,32381,43000,42039,24773,17308,52500,4.8,15.5,4.6,8.2,29.9,22.9,3.9,5.7,4.5,Thorsby,AL
562,1600000US0102908,region.place,2013,22143,17090,33654,30128,20984,53508,64167,28750,15321,22034,11.3,32.1,2.0,16.2,11.6,19.8,2.2,4.8,0.0,Ashville,AL
565,1600000US0178480,region.place,2013,31100,18958,34519,30446,22000,32303,46806,22467,19688,30568,6.5,20.2,3.4,23.8,27.4,9.5,4.2,2.8,2.2,Vernon,AL
572,1600000US0140072,region.place,2013,29896,21346,32500,27552,25981,41250,58571,28147,21442,27400,5.2,19.5,0.3,30.2,23.5,9.0,4.9,4.3,3.1,Kinsey,AL
573,1600000US0143240,region.place,2013,26767,16875,40603,29783,25165,38929,53250,19009,9276,28529,3.6,26.3,2.3,20.9,15.9,15.3,2.2,9.4,4.1,Linden,AL
577,1600000US0102860,region.place,2013,25743,21696,32438,27596,24716,38125,50833,16188,46359,30588,5.0,34.2,1.3,16.5,20.2,14.4,2.0,2.6,3.8,Ashland,AL
580,1600000US0173152,region.place,2013,30781,19387,38616,27266,25261,62639,0,26129,25764,24688,3.5,19.3,2.3,28.7,15.0,21.2,7.5,2.5,0.0,Stewartville,AL
581,1600000US0133256,region.place,2013,32639,19833,49583,26635,24952,46389,7639,37639,16667,24663,11.4,8.5,3.3,21.8,14.7,21.4,5.2,2.9,10.8,Harpersville,AL
582,1600000US0103820,region.place,2013,22460,9167,37083,14762,13869,0,0,40096,12946,33269,4.3,13.2,7.1,15.7,32.6,18.5,8.6,0.0,0.0,Ballplay,AL
584,1600000US0182848,region.place,2013,32313,24740,41250,32083,28442,41250,54464,28683,35227,32237,0.8,10.5,3.1,29.3,25.8,15.4,2.0,9.8,3.3,Wilsonville,AL
587,1600000US0112760,region.place,2013,26583,19688,31016,29489,25125,56250,56154,25809,16696,23792,5.4,28.4,2.7,25.9,11.3,11.3,3.5,7.8,3.7,Cedar Bluff,AL
593,1600000US0130640,region.place,2013,27156,22864,34886,26523,23750,45938,0,24107,4728,25508,2.3,19.6,0.0,43.0,24.5,10.6,0.0,0.0,0.0,Goodwater,AL
603,1600000US0107456,region.place,2013,32500,19545,31471,24702,23209,25000,59167,25833,15568,34063,7.7,19.4,0.8,33.5,25.0,4.8,2.7,4.0,2.1,Blountsville,AL
609,1600000US0116936,region.place,2013,35625,16373,48832,48288,33684,65556,33021,39871,0,18269,11.2,8.7,1.9,16.6,22.8,20.2,10.1,8.5,0.0,Concord,AL
610,1600000US0152608,region.place,2013,24671,21528,36667,29583,24545,24375,43750,26667,26111,39688,3.1,33.8,3.4,20.0,20.0,13.2,3.1,3.4,0.0,Mount Vernon,AL
611,1600000US0129560,region.place,2013,22083,18177,22125,20958,19559,0,35833,18162,16563,24306,5.7,52.9,0.0,17.1,10.4,6.8,3.2,2.1,1.8,Georgiana,AL
612,1600000US0123320,region.place,2013,27969,14410,31929,22163,18571,30517,54107,14960,5000,29688,9.8,19.9,5.0,34.5,17.2,8.8,1.6,3.2,0.0,Elberta,AL
613,1600000US0154312,region.place,2013,26620,21319,42500,34615,25185,62639,108021,27849,23056,31164,3.3,22.9,0.0,31.7,11.6,11.2,2.1,6.7,10.5,New Market,AL
630,1600000US0169672,region.place,2013,29899,28378,54406,46513,39948,53875,0,45943,0,42885,3.7,9.3,0.0,16.7,12.4,39.8,4.8,8.5,4.8,Shelby,AL
631,1600000US0169978,region.place,2013,56944,38021,88646,81786,55550,67109,108947,45417,0,43472,1.8,4.3,0.0,11.1,11.1,13.6,2.9,16.2,39.0,Shoal Creek,AL
646,1600000US0114008,region.place,2013,45682,11823,63333,33092,17750,46875,49167,16100,11053,38000,10.8,7.5,0.8,17.1,19.2,11.3,8.3,8.3,16.7,Chatom,AL
647,1600000US0112304,region.place,2013,34167,13438,32440,18000,16321,38646,51667,14063,21250,19875,4.5,13.4,8.5,27.5,17.8,9.3,7.3,9.3,2.4,Carrollton,AL
648,1600000US0180496,region.place,2013,28333,27940,34511,19615,21172,82917,36667,21154,9402,29432,6.7,16.9,2.7,43.5,11.0,10.2,1.2,4.3,3.5,Wedowee,AL
650,1600000US0156472,region.place,2013,33125,24048,53026,36806,31458,53375,56000,29861,23125,44519,4.7,20.2,2.3,12.6,18.1,31.3,2.6,4.4,3.8,Ohatchee,AL
656,1600000US0166216,region.place,2013,28333,20795,56058,40703,30556,62917,54500,35341,16136,30556,0.0,23.6,0.0,18.9,19.7,14.6,3.9,7.7,11.6,Rogersville,AL
664,1600000US0109424,region.place,2013,26806,12604,40714,16652,15461,53125,47000,23021,10179,23250,3.0,26.4,7.6,14.7,11.2,25.9,0.0,4.1,7.1,Brilliant,AL
668,1600000US0120008,region.place,2013,42798,23667,63214,49079,35000,53594,51875,30179,17500,43177,2.5,13.3,0.6,11.8,16.7,25.4,13.6,5.3,10.8,Deatsville,AL
669,1600000US0143648,region.place,2013,23438,20492,36875,30455,22377,39000,16563,22344,19625,31591,5.8,34.2,0.9,15.4,12.3,16.9,6.8,3.7,4.0,Littleville,AL
670,1600000US0142304,region.place,2013,29583,29097,68250,64554,41357,46607,0,41429,0,67837,3.3,18.5,0.0,10.7,24.0,7.4,18.7,17.4,0.0,Leroy,AL
673,1600000US0142016,region.place,2013,26793,23466,32075,30625,27616,36118,56364,28413,28456,25625,6.3,15.7,1.6,38.1,11.6,18.2,3.8,4.7,0.0,Leesburg,AL
675,1600000US0122816,region.place,2013,30729,26625,39861,29688,27850,38194,50625,27550,0,30648,3.6,19.4,0.0,29.1,27.8,8.1,6.5,3.2,2.3,Eclectic,AL
681,1600000US0146072,region.place,2013,40278,18125,48750,39091,27028,47083,70750,16705,38500,26964,5.6,3.9,0.0,20.8,25.8,19.7,15.2,5.1,3.9,Magnolia Springs,AL
682,1600000US0160240,region.place,2013,31250,12833,59205,53250,24306,52857,100208,24688,22188,43750,0.0,7.9,10.9,13.3,15.2,22.4,5.5,13.9,10.9,Pine Hill,AL
683,1600000US0172888,region.place,2013,22721,13984,35481,26750,21324,32188,17083,16458,18750,30714,6.9,15.4,9.7,25.1,26.3,9.7,5.3,1.6,0.0,Steele,AL
696,1600000US0131096,region.place,2013,34625,24423,47000,40139,34141,46458,58750,30417,19250,34375,0.8,18.2,0.8,13.8,30.0,13.4,4.0,11.7,7.3,Grant,AL
698,1600000US0179728,region.place,2013,26705,23077,42143,40179,26935,44205,43750,30625,23036,26548,0.0,25.7,1.6,22.4,31.7,9.3,6.0,2.2,1.1,Walnut Grove,AL
700,1600000US0132440,region.place,2013,26250,10938,42500,30156,22981,51875,56071,25000,26389,35625,12.8,12.8,2.3,20.5,18.3,17.4,1.8,8.2,5.9,Gurley,AL
701,1600000US0145496,region.place,2013,25806,23036,30000,22750,22841,25852,0,22679,22917,31923,7.5,33.0,2.0,24.0,23.5,5.0,5.0,0.0,0.0,McKenzie,AL
704,1600000US0155992,region.place,2013,22115,18625,45625,34063,25192,45313,48750,31333,20875,19875,9.2,25.3,0.0,20.3,17.1,19.8,7.8,0.0,0.5,Oakman,AL
708,1600000US0121890,region.place,2013,46705,31346,68036,42000,37969,96111,93750,57188,36518,32386,0.0,3.8,0.0,16.3,25.7,3.5,20.4,12.2,18.1,Dunnavant,AL
711,1600000US0103508,region.place,2013,46786,16827,42235,41098,40076,0,0,32891,0,43490,9.0,5.8,0.0,4.5,52.9,0.0,14.8,13.0,0.0,Axis,AL
715,1600000US0170536,region.place,2013,30313,16544,50417,30833,22159,57813,48750,11944,16429,27656,1.4,4.9,0.0,31.7,22.5,12.0,9.2,12.7,5.6,Silverhill,AL
717,1600000US0134984,region.place,2013,0,12708,22083,11875,12375,0,0,20303,0,0,27.4,26.6,0.0,0.0,14.5,11.3,20.2,0.0,0.0,Hissop,AL
730,1600000US0171496,region.place,2013,32500,18611,33672,23333,20357,45000,0,18906,13750,32946,8.7,26.8,2.7,18.0,23.0,12.6,3.8,4.4,0.0,Somerville,AL
731,1600000US0103676,region.place,2013,38750,20417,45268,31429,25278,40417,51750,22411,12917,36250,2.7,17.3,1.3,20.7,33.3,8.0,8.7,6.0,2.0,Baileyton,AL
739,1600000US0101396,region.place,2013,30833,22188,37500,27250,25913,34375,0,32083,38214,24219,12.6,13.6,0.0,26.3,26.3,16.7,0.0,3.0,1.5,Allgood,AL
740,1600000US0118040,region.place,2013,35833,21563,55260,37031,30833,37292,0,30625,19583,44205,0.0,17.4,5.2,12.3,23.2,29.7,8.4,3.2,0.6,Courtland,AL
744,1600000US0105188,region.place,2013,0,9648,36455,35788,34464,0,0,34881,0,23897,0.0,15.3,0.0,14.0,54.0,16.7,0.0,0.0,0.0,Bellamy,AL
745,1600000US0129032,region.place,2013,35694,32167,29744,29359,30208,30313,0,26607,31389,31339,0.0,12.6,0.0,41.4,13.6,15.7,9.9,6.8,0.0,Garden City,AL
746,1600000US0154600,region.place,2013,18077,15063,22313,21506,18587,20875,0,20385,15625,56154,11.3,49.5,7.0,12.9,3.2,11.8,0.0,0.5,3.8,Newville,AL
750,1600000US0164776,region.place,2013,20139,16364,27625,23125,20043,64688,0,20500,21750,18750,4.6,51.5,0.0,7.7,23.1,4.6,0.0,3.1,5.4,River Falls,AL
751,1600000US0108104,region.place,2013,21875,18421,65625,28125,19474,38125,84615,7500,13333,4375,10.3,29.1,0.0,6.8,6.0,5.1,1.7,22.2,18.8,Boligee,AL
753,1600000US0112496,region.place,2013,36719,18438,24821,22917,21875,34750,0,37578,17750,18125,7.3,29.2,10.2,8.8,29.9,9.5,0.0,1.5,3.6,Castleberry,AL
755,1600000US0176680,region.place,2013,27639,17813,38750,34821,27778,34063,0,18750,21458,38824,2.5,17.5,2.5,30.0,38.3,7.5,0.0,1.7,0.0,Trafford,AL
756,1600000US0165592,region.place,2013,34773,33548,50268,46875,34521,0,0,33359,0,40083,0.0,0.0,8.7,33.5,23.0,15.5,19.3,0.0,0.0,Rock Mills,AL
758,1600000US0135536,region.place,2013,0,0,27361,26595,27198,0,0,0,0,45676,33.0,5.7,0.0,8.5,52.8,0.0,0.0,0.0,0.0,Hollis Crossroads,AL
763,1600000US0102500,region.place,2013,28438,7188,14806,13438,12975,40625,47500,16447,6440,13861,48.0,2.0,0.0,21.6,8.8,12.7,0.0,2.0,4.9,Arley,AL
770,1600000US0167584,region.place,2013,0,13750,56944,56157,36000,0,0,15526,0,56157,0.0,12.7,16.7,0.0,10.0,18.0,29.3,0.0,13.3,St. Stephens,AL
774,1600000US0167176,region.place,2013,24750,23750,38750,26094,25573,14750,0,25395,14643,48681,11.5,17.7,0.0,21.2,29.2,12.4,0.0,6.2,1.8,Rutledge,AL
775,1600000US0137264,region.place,2013,26964,20536,34063,31250,23393,41250,0,22188,13750,33333,4.3,23.4,2.1,29.8,19.9,8.5,2.8,3.5,5.7,Hytop,AL
778,1600000US0176824,region.place,2013,38182,24375,49286,44583,26786,53000,49107,20625,4583,26500,5.7,10.7,2.9,14.3,25.0,22.9,16.4,2.1,0.0,Triana,AL
779,1600000US0164040,region.place,2013,24552,24869,29920,28298,28112,0,0,0,0,28883,0.0,33.3,0.0,23.4,0.0,21.4,0.0,0.0,21.9,Reeltown,AL
780,1600000US0124688,region.place,2013,35909,30357,47031,30417,30385,46250,47250,26875,13250,33125,7.5,15.8,2.3,13.5,33.8,9.8,4.5,6.8,6.0,Eva,AL
784,1600000US0116264,region.place,2013,26250,13750,31000,11250,13393,0,0,22778,6250,57656,10.3,23.5,7.4,20.6,8.8,13.2,4.4,11.8,0.0,Coffeeville,AL
788,1600000US0148064,region.place,2013,46250,12500,49688,40625,24375,46786,42813,11875,0,30250,4.0,4.0,0.0,9.3,36.0,16.0,6.7,17.3,6.7,Mentone,AL
790,1600000US0148784,region.place,2013,26500,20341,28015,27125,22381,0,0,20000,0,25167,7.3,26.0,0.0,42.7,14.0,10.0,0.0,0.0,0.0,Millerville,AL
791,1600000US0118952,region.place,2013,22188,5313,22006,21729,20466,28125,29375,21250,0,19688,4.0,51.6,2.4,7.1,10.3,4.8,7.9,7.9,4.0,Cuba,AL
793,1600000US0170128,region.place,2013,32250,28182,30625,26125,27188,30000,0,24167,37788,32750,0.7,22.0,0.0,36.9,32.6,6.4,0.0,1.4,0.0,Shorter,AL
794,1600000US0153448,region.place,2013,41000,36615,57875,48333,37458,0,0,35000,23333,40313,6.0,9.5,0.0,8.9,49.4,16.1,6.5,3.6,0.0,Nectar,AL
798,1600000US0159016,region.place,2013,17019,6806,0,16164,13864,0,0,0,0,4800,0.0,45.1,23.9,0.0,0.0,31.0,0.0,0.0,0.0,Penton,AL
799,1600000US0177352,region.place,2013,47500,28750,48750,22361,24167,58750,51250,19063,3750,46250,0.0,11.3,11.3,6.5,24.2,24.2,16.1,3.2,3.2,Twin,AL
808,1600000US0101756,region.place,2013,33125,25417,48068,42857,29821,44167,48875,22917,33125,36875,4.9,19.5,2.4,11.0,39.0,11.0,2.4,6.1,3.7,Anderson,AL
810,1600000US0178120,region.place,2013,0,30188,0,8447,9091,0,0,0,7450,31000,0.0,43.6,0.0,36.4,0.0,20.0,0.0,0.0,0.0,Uriah,AL
815,1600000US0135200,region.place,2013,23125,13333,45865,45192,30000,0,0,31250,39375,30313,4.0,19.0,2.0,18.0,25.0,20.0,9.0,1.0,2.0,Hodges,AL
816,1600000US0120272,region.place,2013,0,0,0,22429,22429,0,0,0,0,0,0.0,0.0,0.0,39.3,60.7,0.0,0.0,0.0,0.0,Delta,AL
817,1600000US0130760,region.place,2013,20714,19821,34063,14167,18125,33281,0,20893,0,13750,25.0,26.7,0.0,23.3,13.3,6.7,1.7,0.0,3.3,Gordon,AL
821,1600000US0128120,region.place,2013,19583,17262,59750,59875,30781,0,0,22000,0,46786,0.0,28.6,0.0,20.4,7.1,10.2,0.0,25.5,8.2,Fredonia,AL
823,1600000US0103724,region.place,2013,26500,25536,36250,27750,25900,0,0,23750,26023,27321,6.1,26.8,0.0,29.3,18.3,11.0,6.1,2.4,0.0,Bakerhill,AL
825,1600000US0169840,region.place,2013,23750,20000,33958,33162,25625,39688,56250,33235,16875,29375,0.0,30.3,4.5,27.0,19.1,14.6,1.1,0.0,3.4,Shiloh,AL
827,1600000US0179032,region.place,2013,0,0,82716,82716,82931,0,0,0,0,52727,0.0,25.8,0.0,0.0,0.0,16.7,0.0,43.9,13.6,Vinegar Bend,AL
831,1600000US0122504,region.place,2013,17461,16797,0,0,26029,0,0,0,0,0,0.0,33.7,0.0,17.9,0.0,15.8,14.7,0.0,17.9,East Point,AL
833,1600000US0109457,region.place,2013,0,0,34643,50167,33750,0,0,0,0,59531,0.0,20.6,23.5,20.6,0.0,35.3,0.0,0.0,0.0,Bristow Cove,AL
835,1600000US0116240,region.place,2013,25625,10625,44583,30417,15500,63750,0,18333,12917,24500,0.0,25.0,7.5,15.0,20.0,5.0,12.5,5.0,10.0,Coffee Springs,AL
836,1600000US0183400,region.place,2013,17153,16667,31000,30357,20000,38750,0,10417,17250,20179,9.8,50.8,0.0,14.8,8.2,11.5,4.9,0.0,0.0,Woodland,AL
847,1600000US0114968,region.place,2013,0,12222,47273,47273,29333,0,0,0,0,46307,0.0,0.0,0.0,27.3,40.0,0.0,32.7,0.0,0.0,Chunchula,AL
850,1600000US0155152,region.place,2013,34500,33250,31058,30192,30481,0,0,21250,27500,38750,0.0,26.2,4.6,33.8,20.0,15.4,0.0,0.0,0.0,North Johns,AL
851,1600000US0139280,region.place,2013,18333,17917,25417,22813,18750,0,0,27250,11250,26042,25.0,27.5,0.0,15.0,5.0,2.5,20.0,0.0,5.0,Kansas,AL
853,1600000US0123344,region.place,2013,0,8281,33125,25500,13125,14821,0,11667,8594,31000,21.1,0.0,0.0,36.8,26.3,10.5,5.3,0.0,0.0,Eldridge,AL
854,1600000US0161536,region.place,2013,28750,10000,63047,42083,19375,30750,0,9107,0,15625,4.3,14.9,0.0,25.5,10.6,40.4,4.3,0.0,0.0,Pollard,AL
855,1600000US0111488,region.place,2013,0,0,0,0,16279,0,0,0,0,0,0.0,71.7,0.0,28.3,0.0,0.0,0.0,0.0,0.0,Calvert,AL
857,1600000US0180736,region.place,2013,0,0,0,0,8393,0,0,14306,0,0,28.1,0.0,0.0,0.0,31.3,40.6,0.0,0.0,0.0,Weogufka,AL
859,1600000US0112112,region.place,2013,0,0,0,0,44138,0,0,0,0,0,0.0,0.0,0.0,0.0,46.0,0.0,54.0,0.0,0.0,Carlton,AL
860,1600000US0128024,region.place,2013,39500,23333,57000,55000,30417,61406,38750,30938,0,41875,5.7,21.4,0.0,10.0,21.4,30.0,4.3,2.9,4.3,Franklin,AL
861,1600000US0153784,region.place,2013,25250,18500,43750,11250,13864,0,0,16250,9500,35750,20.5,18.2,4.5,13.6,25.0,9.1,0.0,0.0,9.1,Newbern,AL
863,1600000US0183976,region.place,2013,26111,25357,0,15417,18500,0,0,26389,0,13750,0.0,19.2,7.7,57.7,0.0,15.4,0.0,0.0,0.0,Yellow Bluff,AL
864,1600000US0104948,region.place,2013,20625,9167,25625,21731,20167,0,0,21146,4000,26875,7.5,30.0,15.0,17.5,10.0,2.5,0.0,5.0,12.5,Beaverton,AL
866,1600000US0162952,region.place,2013,0,0,0,0,38971,0,0,0,0,0,0.0,0.0,0.0,27.6,17.2,0.0,0.0,0.0,55.2,Putnam,AL
867,1600000US0133544,region.place,2013,0,0,87721,74219,72656,0,0,0,0,0,0.0,19.4,0.0,0.0,0.0,0.0,25.8,54.8,0.0,Hatton,AL
870,1600000US0176632,region.place,2013,26667,25417,100577,100096,38438,0,0,53125,0,15000,0.0,8.7,0.0,19.6,21.7,8.7,0.0,2.2,39.1,Toxey,AL
